Model,Accuracy Mean,Accuracy Std,Precision Mean,Recall Mean,F1 Mean
Random Forest,0.6851556470285567,0.0023488988341679256,0.6980526226213206,0.7030059716938467,0.6999795038655675
Decision Tree,0.6059171597633136,0.009786191775064035,0.6269464088424732,0.6250970961366881,0.6251005820322455
KNN,0.5755081039361976,0.004329443574574225,0.5911708911958221,0.6025920089486372,0.5916218056866935
SVM,0.34247491638795985,0.005130929091769656,0.3291131893206631,0.3083433468060791,0.2795155203283388
Logistic Regression,0.31155132492925136,0.00275648988648909,0.277839747507567,0.27283622341822555,0.23681040584147656
