Area,ED,Energy,SS,ResidueLength,PairNumber
14353.8,121382.0,-8811.0,213,317,4723
8659.24,20801.9,-3534.18,171,163,1162
5530.04,3600.01,32098.6,58,85,269
12941.6,60079.5,-1602.61,27,247,2754
12484.0,53275.0,-5933.0,59,229,2391
13003.1,60834.4,-396.034,43,246,2754
11115.9,27620.0,-4883.0,73,188,1165
18415.2,183056.0,-13417.0,97,487,6868
10328.2,51194.4,14483.5,152,218,2391
4253.06,6006.58,-500.09,13,68,481
5436.99,5279.97,-2737.5,22,88,370
12224.0,62391.0,-6441.0,26,238,2679
24516.6,356914.0,-12123.0,66,523,11426
13846.5,81961.0,-8368.0,47,283,3380
3720.48,490.712,-712.14,3,36,35
3552.87,687.58,-177.91,4,31,53
12144.0,70565.8,-1414.07,160,262,3211
9201.75,23910.0,-2424.0,54,173,1255
15442.8,283424.0,-10546.0,87,426,10536
5657.47,9581.74,21088.5,141,98,651
4501.47,3150.0,-1831.0,13,64,246
11978.2,34170.9,10074.0,119,234,1581
10802.7,57365.0,-7111.0,180,259,2828
5567.99,7611.2,-727.042,102,104,457
4418.56,2740.49,-1047.0,20,65,202
3836.43,2081.36,-1620.3,4,63,184
9375.96,21832.1,1348620.0,219,145,1156
5081.19,3041.22,-2025.9,4,65,202
5577.54,1069.48,-1709.6,6,57,76
6259.12,5151.93,-963.614,17,99,321
4800.91,3850.73,-1674.93,17,79,317
7102.8,5351.34,366171.0,198,107,346
13067.7,60272.9,-1872.88,35,247,2754
5772.69,4598.0,-1821.0,109,85,342
13061.1,60135.8,-2107.84,28,247,2754
12154.1,36883.0,-2065.11,20,225,1755
12000.7,73773.0,-973.855,35,249,3630
9907.11,39135.9,-2143.63,45,180,2054
8886.71,20799.0,-1172.76,101,143,1017
9179.91,9876.45,13709.6,24,154,557
10498.3,41198.8,-4381.67,129,207,1995
4108.68,353.881,884.67,11,54,28
7755.86,9283.43,286.5,14,130,515
3368.52,694.034,301.5,4,31,53
15505.7,156957.0,2700.3,113,310,6737
4464.56,978.334,-1114.5,14,66,101
4740.97,3076.41,-529.551,160,71,249
13470.7,63269.2,3969.8,47,279,2979
7604.89,9270.66,592450.0,196,138,554
5749.12,2519.3,720.45,13,81,169
4863.89,1667.59,-1169.5,6,70,131
5012.89,4224.82,-1084.5,18,79,317
5189.89,1928.0,-1113.0,14,68,149
6212.58,1891.23,2115490.0,28,84,136
4698.68,4170.53,157.291,20,79,317
8806.99,12194.8,-1669.35,57,128,693
3509.19,599.114,-254.79,14,43,52
5179.15,3683.27,-688.86,21,82,289
5508.22,2385.27,1146.1,3,81,169
7362.82,6653.64,-1122.67,6,95,372
4234.58,1097.34,-677.2,8,59,101
3677.42,1967.22,-638.706,3,43,161
3766.44,493.818,-849.97,3,36,35
4346.96,2625.13,-1101.2,18,65,202
14304.5,110666.0,-7979.0,216,325,5111
8486.29,14138.0,26273.8,98,140,845
15793.8,193095.0,-6398.0,17,353,6647
3661.25,463.776,-642.41,3,36,35
14141.0,106176.0,-7372.0,237,303,4434
8359.84,9528.85,-1054.12,91,138,554
6804.97,10373.7,-922.079,23,109,689
8864.38,30045.3,-1386.37,27,132,1513
4877.49,2245.82,-1342.7,14,71,188
15959.8,89331.6,4949.0,79,289,3710
12038.0,32889.0,-6870.0,134,235,1421
11572.9,68841.0,-2713.95,196,247,3373
15244.9,60940.2,-681.325,140,215,2188
8842.69,20599.0,-1816.74,105,163,1162
8577.89,4897.72,-1115.36,24,131,271
7168.88,5530.51,-1340.59,42,79,292
8695.58,13832.0,-5930.0,12,158,733
3255.46,641.06,177.66,6,31,53
14163.4,51790.8,18164.6,142,298,2196
9958.45,33265.9,-389.019,112,176,1922
4761.88,2835.4,-840.03,16,65,202
13258.5,60732.9,19915.7,32,247,2754
6707.35,10399.1,37762.9,27,109,689
4116.34,1191.45,-450.73,8,55,88
4604.09,2414.36,-645.565,175,54,165
5510.91,2945.0,-2456.0,18,80,226
10794.0,98318.0,-6448.0,112,261,4611
9986.29,20659.6,-1132.43,37,157,1113
4345.96,964.577,-1114.5,4,55,88
4091.51,2257.88,-942.013,184,54,165
5175.44,4163.0,-768.983,17,79,317
3616.42,417.33,1221.9,11,54,28
14416.4,130714.0,-7885.0,66,328,5736
13245.6,61793.7,-4837.62,33,247,2754
6969.16,4068.43,-1098.64,86,101,249
9790.11,26450.0,-5278.0,42,210,1363
3661.05,484.057,-1029.3,1,36,35
4271.87,1667.2,-564.41,8,61,134
12173.2,37491.1,470095.0,145,235,1818
3871.3,2300.5,-1037.5,8,63,184
21889.1,181176.0,-8240.0,36,355,5126
8548.72,20246.8,-1153.22,123,163,1162
3884.53,2226.35,-992.26,4,63,184
13471.4,51744.5,-3243.82,112,234,1581
5497.0,3541.24,-725.291,2,51,132
12020.8,54602.8,-1319.2,48,220,2461
10211.8,50774.2,-4733.4,125,224,2192
3958.85,1192.73,-710.92,9,55,88
11964.4,38315.0,250959.0,36,235,1818
16822.4,62860.0,-5265.0,50,193,1418
5572.4,1086.49,-1710.6,10,57,76
4883.11,4250.86,-1768.95,17,88,292
3793.49,2425.4,-932.61,10,63,184
22481.2,411078.0,-483.517,55,473,14125
13386.9,66155.4,4410.8,33,279,2979
11671.8,56303.9,-2123.69,180,209,2967
4047.27,6593.71,983.28,39,68,481
4663.32,2189.03,598.54,28,75,165
3666.17,523.662,-906.7,2,36,35
4620.24,533.378,10.288,18,65,35
4131.89,2071.81,-1991.9,5,63,184
15212.7,250527.0,-7510.26,120,346,7851
4390.73,1716.55,-548.08,8,61,134
13953.2,90394.2,-2010.07,213,254,3973
6029.2,4578.0,-1380.0,52,95,319
24606.1,258737.0,140000.0,283,540,8870
4129.66,1449.16,-664.519,41,52,133
6127.01,15099.0,-2424.0,16,125,1014
8446.67,23531.0,-5411.0,14,167,1262
4975.16,1134.2,-987.948,248,64,90
15546.3,156294.0,3992.3,111,310,6737
18129.7,222326.0,-12236.8,306,498,7962
3723.67,558.35,-704.8,6,43,52
8175.12,22959.0,-1909.0,14,157,1358
5230.41,4274.87,-973.556,19,79,317
9655.11,38049.9,-2541.18,45,180,2054
9338.86,21353.2,-1653.45,26,143,1017
6837.68,7451.66,-730.696,65,90,405
