Fold,Accuracy,Precision,Recall,F1
1,0.6861332647285825,0.6969846347702804,0.7062897127139416,0.7009677596288566
2,0.6861332647285825,0.6997918714732293,0.7036788029620177,0.7010888032094454
3,0.6840751222022124,0.6972930082881287,0.7013549119390747,0.6990833801314955
4,0.6881914072549524,0.7033274537829787,0.7062234752521216,0.7041939892962109
5,0.6812451762284538,0.6928661447919865,0.697482955602078,0.6945635870618289
